domain, index, method, duration (ms), median f
BinPacking, 6, FS-ILS, 600000, 0.015052575667655832
BinPacking, 6, NR-FS-ILS, 600000, 0.0110469642857145
BinPacking, 6, EPH, 600000, 0.020939242603551178
BinPacking, 6, AA-HH, 600000, 0.18291909973045828
BinPacking, 6, ANW-HH, 600000, 0.014861566765578704
BinPacking, 7, Adap-HH, 600000, 0.029421128129601404
BinPacking, 7, FS-ILS, 600000, 0.02944364653902909
BinPacking, 7, NR-FS-ILS, 600000, 0.027072598820059524
BinPacking, 7, EPH, 600000, 0.04551637664233499
BinPacking, 7, AA-HH, 600000, 0.18252569770580185
BinPacking, 7, ANW-HH, 600000, 0.01592609792284716
BinPacking, 8, Adap-HH, 600000, 0.12399986801584206
BinPacking, 8, FS-ILS, 600000, 0.05207330586081249
BinPacking, 8, NR-FS-ILS, 600000, 0.05225004578755443
BinPacking, 8, EPH, 600000, 0.060366955332734284
BinPacking, 8, AA-HH, 600000, 0.12287475770925216
BinPacking, 8, ANW-HH, 600000, 0.051562500000007394
BinPacking, 9, Adap-HH, 600000, 0.01135383314544336
BinPacking, 9, FS-ILS, 600000, 0.015539876265475372
BinPacking, 9, NR-FS-ILS, 600000, 0.014454530106929986
BinPacking, 9, EPH, 600000, 0.01015730400451853
BinPacking, 9, AA-HH, 600000, 0.04067123820101459
BinPacking, 9, ANW-HH, 600000, 0.015661023622056014
BinPacking, 10, Adap-HH, 600000, 0.10832890677397611
BinPacking, 10, FS-ILS, 600000, 0.1086054996646525
BinPacking, 10, NR-FS-ILS, 600000, 0.10856892465906431
BinPacking, 10, EPH, 600000, 0.1086046948356778
BinPacking, 10, AA-HH, 600000, 0.12630737404070425
BinPacking, 10, ANW-HH, 600000, 0.1084625978090753
BinPacking, 11, Adap-HH, 600000, 0.031986607142879264
BinPacking, 11, FS-ILS, 600000, 0.02168474128829001
BinPacking, 11, NR-FS-ILS, 600000, 0.02071193872161914
BinPacking, 11, EPH, 600000, 0.019702484143775068
BinPacking, 11, AA-HH, 600000, 0.0663843733883589
BinPacking, 11, ANW-HH, 600000, 0.026593312269629243
FlowShop, 0, Adap-HH, 600000, 6289.0
FlowShop, 0, FS-ILS, 600000, 6278.0
FlowShop, 0, NR-FS-ILS, 600000, 6268.0
FlowShop, 0, EPH, 600000, 6289.0
FlowShop, 0, AA-HH, 600000, 6389.0
FlowShop, 0, ANW-HH, 600000, 6392.0
FlowShop, 1, Adap-HH, 600000, 6242.0
FlowShop, 1, FS-ILS, 600000, 6242.0
FlowShop, 1, NR-FS-ILS, 600000, 6236.0
FlowShop, 1, EPH, 600000, 6257.0
FlowShop, 1, AA-HH, 600000, 6336.0
FlowShop, 1, ANW-HH, 600000, 6348.0
FlowShop, 2, Adap-HH, 600000, 6321.0
FlowShop, 2, FS-ILS, 600000, 6323.0
FlowShop, 2, NR-FS-ILS, 600000, 6318.0
FlowShop, 2, EPH, 600000, 6337.0
FlowShop, 2, AA-HH, 600000, 6411.0
FlowShop, 2, ANW-HH, 600000, 6406.0
FlowShop, 3, Adap-HH, 600000, 6323.0
FlowShop, 3, FS-ILS, 600000, 6325.0
FlowShop, 3, NR-FS-ILS, 600000, 6326.0
FlowShop, 3, EPH, 600000, 6326.0
FlowShop, 3, AA-HH, 600000, 6392.0
FlowShop, 3, ANW-HH, 600000, 6397.0
FlowShop, 4, Adap-HH, 600000, 6384.0
FlowShop, 4, FS-ILS, 600000, 6388.0
FlowShop, 4, NR-FS-ILS, 600000, 6374.0
FlowShop, 4, EPH, 600000, 6391.0
FlowShop, 4, AA-HH, 600000, 6474.0
FlowShop, 4, ANW-HH, 600000, 6466.0
FlowShop, 5, Adap-HH, 600000, 10497.0
FlowShop, 5, FS-ILS, 600000, 10497.0
FlowShop, 5, NR-FS-ILS, 600000, 10497.0
FlowShop, 5, EPH, 600000, 10497.0
FlowShop, 5, AA-HH, 600000, 10546.0
FlowShop, 5, ANW-HH, 600000, 10563.0
FlowShop, 6, Adap-HH, 600000, 10923.0
FlowShop, 6, FS-ILS, 600000, 10923.0
FlowShop, 6, NR-FS-ILS, 600000, 10923.0
FlowShop, 6, EPH, 600000, 10923.0
FlowShop, 6, AA-HH, 600000, 10974.0
FlowShop, 6, ANW-HH, 600000, 10965.0
FlowShop, 7, Adap-HH, 600000, 26321.0
FlowShop, 7, FS-ILS, 600000, 26308.0
FlowShop, 7, NR-FS-ILS, 600000, 26274.0
FlowShop, 7, EPH, 600000, 26322.0
FlowShop, 7, AA-HH, 600000, 26454.0
FlowShop, 7, ANW-HH, 600000, 26579.0
FlowShop, 8, Adap-HH, 600000, 26810.0
FlowShop, 8, FS-ILS, 600000, 26779.0
FlowShop, 8, NR-FS-ILS, 600000, 26792.0
FlowShop, 8, EPH, 600000, 26812.0
FlowShop, 8, AA-HH, 600000, 26962.0
FlowShop, 8, ANW-HH, 600000, 27034.0
FlowShop, 9, Adap-HH, 600000, 26675.0
FlowShop, 9, FS-ILS, 600000, 26664.0
FlowShop, 9, NR-FS-ILS, 600000, 26638.0
FlowShop, 9, EPH, 600000, 26665.0
FlowShop, 9, AA-HH, 600000, 26772.0
FlowShop, 9, ANW-HH, 600000, 26834.0
FlowShop, 10, Adap-HH, 600000, 11385.0
FlowShop, 10, FS-ILS, 600000, 11370.0
FlowShop, 10, NR-FS-ILS, 600000, 11351.0
FlowShop, 10, EPH, 600000, 11397.0
FlowShop, 10, AA-HH, 600000, 11513.0
FlowShop, 10, ANW-HH, 600000, 11544.0
FlowShop, 11, Adap-HH, 600000, 26634.0
FlowShop, 11, FS-ILS, 600000, 26603.0
FlowShop, 11, NR-FS-ILS, 600000, 26585.0
FlowShop, 11, EPH, 600000, 26622.0
FlowShop, 11, AA-HH, 600000, 26764.0
FlowShop, 11, ANW-HH, 600000, 26840.0
PersonnelScheduling, 0, Adap-HH, 600000, 3349.0
PersonnelScheduling, 0, FS-ILS, 600000, 3336.0
PersonnelScheduling, 0, NR-FS-ILS, 600000, 3334.0
PersonnelScheduling, 0, EPH, 600000, 3321.0
PersonnelScheduling, 0, AA-HH, 600000, 3386.0
PersonnelScheduling, 0, ANW-HH, 600000, 3361.0
PersonnelScheduling, 1, Adap-HH, 600000, 2365.0
PersonnelScheduling, 1, FS-ILS, 600000, 2255.0
PersonnelScheduling, 1, NR-FS-ILS, 600000, 2220.0
PersonnelScheduling, 1, EPH, 600000, 2210.0
PersonnelScheduling, 1, AA-HH, 600000, 2645.0
PersonnelScheduling, 1, ANW-HH, 600000, 2560.0
PersonnelScheduling, 2, Adap-HH, 600000, 420.0
PersonnelScheduling, 2, FS-ILS, 600000, 380.0
PersonnelScheduling, 2, NR-FS-ILS, 600000, 375.0
PersonnelScheduling, 2, EPH, 600000, 380.0
PersonnelScheduling, 2, AA-HH, 600000, 470.0
PersonnelScheduling, 2, ANW-HH, 600000, 540.0
PersonnelScheduling, 3, Adap-HH, 600000, 25.0
PersonnelScheduling, 3, FS-ILS, 600000, 24.0
PersonnelScheduling, 3, NR-FS-ILS, 600000, 23.0
PersonnelScheduling, 3, EPH, 600000, 21.0
PersonnelScheduling, 3, AA-HH, 600000, 41.0
PersonnelScheduling, 3, ANW-HH, 600000, 30.0
PersonnelScheduling, 4, Adap-HH, 600000, 27.0
PersonnelScheduling, 4, FS-ILS, 600000, 27.0
PersonnelScheduling, 4, NR-FS-ILS, 600000, 26.0
PersonnelScheduling, 4, EPH, 600000, 24.0
PersonnelScheduling, 4, AA-HH, 600000, 45.0
PersonnelScheduling, 4, ANW-HH, 600000, 34.0
PersonnelScheduling, 5, Adap-HH, 600000, 28.0
PersonnelScheduling, 5, FS-ILS, 600000, 28.0
PersonnelScheduling, 5, NR-FS-ILS, 600000, 27.0
PersonnelScheduling, 5, EPH, 600000, 25.0
PersonnelScheduling, 5, AA-HH, 600000, 44.0
PersonnelScheduling, 5, ANW-HH, 600000, 34.0
PersonnelScheduling, 6, Adap-HH, 600000, 1213.0
PersonnelScheduling, 6, FS-ILS, 600000, 1221.0
PersonnelScheduling, 6, NR-FS-ILS, 600000, 1229.0
PersonnelScheduling, 6, EPH, 600000, 1125.0
PersonnelScheduling, 6, AA-HH, 600000, 1663.0
PersonnelScheduling, 6, ANW-HH, 600000, 1185.0
PersonnelScheduling, 7, Adap-HH, 600000, 2264.0
PersonnelScheduling, 7, FS-ILS, 600000, 2277.0
PersonnelScheduling, 7, NR-FS-ILS, 600000, 2252.0
PersonnelScheduling, 7, EPH, 600000, 2265.0
PersonnelScheduling, 7, AA-HH, 600000, 4099.0
PersonnelScheduling, 7, ANW-HH, 600000, 2272.0
PersonnelScheduling, 8, Adap-HH, 600000, 3271.0
PersonnelScheduling, 8, FS-ILS, 600000, 3268.0
PersonnelScheduling, 8, NR-FS-ILS, 600000, 3261.0
PersonnelScheduling, 8, EPH, 600000, 3264.0
PersonnelScheduling, 8, AA-HH, 600000, 5666.0
PersonnelScheduling, 8, ANW-HH, 600000, 3326.0
PersonnelScheduling, 9, Adap-HH, 600000, 9697.0
PersonnelScheduling, 9, FS-ILS, 600000, 10174.0
PersonnelScheduling, 9, NR-FS-ILS, 600000, 10118.0
PersonnelScheduling, 9, EPH, 600000, 14683.0
PersonnelScheduling, 9, AA-HH, 600000, 39449.0
PersonnelScheduling, 9, ANW-HH, 600000, 9696.0
PersonnelScheduling, 10, Adap-HH, 600000, 1760.0
PersonnelScheduling, 10, FS-ILS, 600000, 1635.0
PersonnelScheduling, 10, NR-FS-ILS, 600000, 1638.0
PersonnelScheduling, 10, EPH, 600000, 1665.0
PersonnelScheduling, 10, AA-HH, 600000, 2035.0
PersonnelScheduling, 10, ANW-HH, 600000, 2063.0
PersonnelScheduling, 11, Adap-HH, 600000, 350.0
PersonnelScheduling, 11, FS-ILS, 600000, 340.0
PersonnelScheduling, 11, NR-FS-ILS, 600000, 350.0
PersonnelScheduling, 11, EPH, 600000, 340.0
PersonnelScheduling, 11, AA-HH, 600000, 400.0
PersonnelScheduling, 11, ANW-HH, 600000, 490.0
TSP, 0, Adap-HH, 600000, 48194.92010274793
TSP, 0, FS-ILS, 600000, 48194.92010274794
TSP, 0, NR-FS-ILS, 600000, 48200.16336349908
TSP, 0, EPH, 600000, 48194.92010274793
TSP, 0, AA-HH, 600000, 49527.92732376931
TSP, 0, ANW-HH, 600000, 50749.8870031847
TSP, 1, Adap-HH, 600000, 109262.74413362361
TSP, 1, FS-ILS, 600000, 109257.07028255891
TSP, 1, NR-FS-ILS, 600000, 109501.59841483038
TSP, 1, EPH, 600000, 109352.57833632003
TSP, 1, AA-HH, 600000, 129474.88759634232
TSP, 1, ANW-HH, 600000, 116933.53565004723
TSP, 2, Adap-HH, 600000, 6813.42191188988
TSP, 2, FS-ILS, 600000, 6811.713268692991
TSP, 2, NR-FS-ILS, 600000, 6810.1654767455075
TSP, 2, EPH, 600000, 6809.733074812764
TSP, 2, AA-HH, 600000, 7006.468849428568
TSP, 2, ANW-HH, 600000, 7081.522380699038
TSP, 3, Adap-HH, 600000, 42080.720171973204
TSP, 3, FS-ILS, 600000, 42134.4448045117
TSP, 3, NR-FS-ILS, 600000, 42067.55071655858
TSP, 3, EPH, 600000, 42061.35064964972
TSP, 3, AA-HH, 600000, 43401.651116042645
TSP, 3, ANW-HH, 600000, 43967.81956939354
TSP, 4, Adap-HH, 600000, 8891.23843888343
TSP, 4, FS-ILS, 600000, 8907.411323732582
TSP, 4, NR-FS-ILS, 600000, 8899.34543399119
TSP, 4, EPH, 600000, 8894.26024214677
TSP, 4, AA-HH, 600000, 9160.745462598712
TSP, 4, ANW-HH, 600000, 9297.52952070087
TSP, 5, Adap-HH, 600000, 57728.54458763508
TSP, 5, FS-ILS, 600000, 57469.39356325102
TSP, 5, NR-FS-ILS, 600000, 57425.54497138795
TSP, 5, EPH, 600000, 57680.788554703264
TSP, 5, AA-HH, 600000, 60589.24998812522
TSP, 5, ANW-HH, 600000, 61345.02425490598
TSP, 6, Adap-HH, 600000, 53515.45181408227
TSP, 6, FS-ILS, 600000, 52793.56890989285
TSP, 6, NR-FS-ILS, 600000, 52809.70687344145
TSP, 6, EPH, 600000, 52848.375051801486
TSP, 6, AA-HH, 600000, 60771.1785899917
TSP, 6, ANW-HH, 600000, 57328.610683998115
TSP, 7, Adap-HH, 600000, 66839.2635396194
TSP, 7, FS-ILS, 600000, 66486.43865999182
TSP, 7, NR-FS-ILS, 600000, 66583.36699828783
TSP, 7, EPH, 600000, 66790.91755422563
TSP, 7, AA-HH, 600000, 74390.99799261303
TSP, 7, ANW-HH, 600000, 70879.88151571777
TSP, 8, Adap-HH, 600000, 2.093280983972463E7
TSP, 8, FS-ILS, 600000, 2.125168034977728E7
TSP, 8, NR-FS-ILS, 600000, 2.117546509106521E7
TSP, 8, EPH, 600000, 2.121454640939835E7
TSP, 8, AA-HH, 600000, 2.4461107109610237E7
TSP, 8, ANW-HH, 600000, 2.1452488379496984E7
TSP, 9, Adap-HH, 600000, 673690.4768278634
TSP, 9, FS-ILS, 600000, 675943.9046606446
TSP, 9, NR-FS-ILS, 600000, 675617.7859064402
TSP, 9, EPH, 600000, 676015.3220725318
TSP, 9, AA-HH, 600000, 711013.2808540631
TSP, 9, ANW-HH, 600000, 678513.4189005338
VRP, 0, Adap-HH, 600000, 5124.414623818185
VRP, 0, FS-ILS, 600000, 5122.259602818554
VRP, 0, NR-FS-ILS, 600000, 5115.882181628766
VRP, 0, EPH, 600000, 5091.061442988848
VRP, 0, AA-HH, 600000, 5560.391789270728
VRP, 0, ANW-HH, 600000, 6240.594292270458
VRP, 1, Adap-HH, 600000, 20656.798225383776
VRP, 1, FS-ILS, 600000, 20654.368440964095
VRP, 1, NR-FS-ILS, 600000, 20655.206675619975
VRP, 1, EPH, 600000, 20650.799239571068
VRP, 1, AA-HH, 600000, 25258.387917274067
VRP, 1, ANW-HH, 600000, 21714.86604437891
VRP, 2, Adap-HH, 600000, 13337.039453197543
VRP, 2, FS-ILS, 600000, 12316.155982229786
VRP, 2, NR-FS-ILS, 600000, 13300.362831503106
VRP, 2, EPH, 600000, 13335.758111560379
VRP, 2, AA-HH, 600000, 15844.505395670696
VRP, 2, ANW-HH, 600000, 14464.92028001865
VRP, 3, Adap-HH, 600000, 5326.0218324664
VRP, 3, FS-ILS, 600000, 6199.919740547286
VRP, 3, NR-FS-ILS, 600000, 6202.382732497108
VRP, 3, EPH, 600000, 5318.919513742065
VRP, 3, AA-HH, 600000, 5928.663085986742
VRP, 3, ANW-HH, 600000, 7335.76353051479
VRP, 4, Adap-HH, 600000, 14293.73165362089
VRP, 4, FS-ILS, 600000, 14259.615827912388
VRP, 4, NR-FS-ILS, 600000, 14264.065408819126
VRP, 4, EPH, 600000, 14262.120369755781
VRP, 4, AA-HH, 600000, 17740.762390442935
VRP, 4, ANW-HH, 600000, 15367.061775080227
VRP, 5, Adap-HH, 600000, 148544.81663911272
VRP, 5, FS-ILS, 600000, 147061.04305006674
VRP, 5, NR-FS-ILS, 600000, 146848.49465996108
VRP, 5, EPH, 600000, 164186.3766412768
VRP, 5, AA-HH, 600000, 358287.3591921453
VRP, 5, ANW-HH, 600000, 158027.17429968785
VRP, 6, Adap-HH, 600000, 60717.82478377781
VRP, 6, FS-ILS, 600000, 67880.89976854104
VRP, 6, NR-FS-ILS, 600000, 66506.59673687932
VRP, 6, EPH, 600000, 82715.03400442298
VRP, 6, AA-HH, 600000, 109871.96062404137
VRP, 6, ANW-HH, 600000, 68717.90288755135
VRP, 7, Adap-HH, 600000, 161043.66873246268
VRP, 7, FS-ILS, 600000, 161663.20111525542
VRP, 7, NR-FS-ILS, 600000, 162016.8788707394
VRP, 7, EPH, 600000, 166226.348768621
VRP, 7, AA-HH, 600000, 243938.97180759776
VRP, 7, ANW-HH, 600000, 164314.51407521078
VRP, 8, Adap-HH, 600000, 155184.58603147013
VRP, 8, FS-ILS, 600000, 150770.7044225618
VRP, 8, NR-FS-ILS, 600000, 149955.85484538937
VRP, 8, EPH, 600000, 177448.95234387417
VRP, 8, AA-HH, 600000, 312030.95408444374
VRP, 8, ANW-HH, 600000, 162797.70506458095
VRP, 9, Adap-HH, 600000, 148091.43379171038
VRP, 9, FS-ILS, 600000, 146460.1641233457
VRP, 9, NR-FS-ILS, 600000, 146288.70945982035
VRP, 9, EPH, 600000, 155867.3619414987
VRP, 9, AA-HH, 600000, 219608.14716774036
VRP, 9, ANW-HH, 600000, 150553.4585712916
KnapsackProblem, 0, Adap-HH, 600000, -104046.0
KnapsackProblem, 0, FS-ILS, 600000, -104046.0
KnapsackProblem, 0, NR-FS-ILS, 600000, -104046.0
KnapsackProblem, 0, EPH, 600000, -104046.0
KnapsackProblem, 0, AA-HH, 600000, -104025.0
KnapsackProblem, 0, ANW-HH, 600000, -103350.0
KnapsackProblem, 1, Adap-HH, 600000, -1258634.0
KnapsackProblem, 1, FS-ILS, 600000, -1220103.0
KnapsackProblem, 1, NR-FS-ILS, 600000, -1231767.0
KnapsackProblem, 1, EPH, 600000, -1253074.0
KnapsackProblem, 1, AA-HH, 600000, -1209914.0
KnapsackProblem, 1, ANW-HH, 600000, -1208666.0
KnapsackProblem, 2, Adap-HH, 600000, -242104.0
KnapsackProblem, 2, FS-ILS, 600000, -236813.0
KnapsackProblem, 2, NR-FS-ILS, 600000, -239578.0
KnapsackProblem, 2, EPH, 600000, -240663.0
KnapsackProblem, 2, AA-HH, 600000, -238397.0
KnapsackProblem, 2, ANW-HH, 600000, -232545.0
KnapsackProblem, 3, Adap-HH, 600000, -431351.0
KnapsackProblem, 3, FS-ILS, 600000, -431297.0
KnapsackProblem, 3, NR-FS-ILS, 600000, -431312.0
KnapsackProblem, 3, EPH, 600000, -431333.0
KnapsackProblem, 3, AA-HH, 600000, -431311.0
KnapsackProblem, 3, ANW-HH, 600000, -431304.0
KnapsackProblem, 4, Adap-HH, 600000, -396167.0
KnapsackProblem, 4, FS-ILS, 600000, -395941.0
KnapsackProblem, 4, NR-FS-ILS, 600000, -395654.0
KnapsackProblem, 4, EPH, 600000, -396167.0
KnapsackProblem, 4, AA-HH, 600000, -396167.0
KnapsackProblem, 4, ANW-HH, 600000, -396013.0
KnapsackProblem, 5, Adap-HH, 600000, -4328770.0
KnapsackProblem, 5, FS-ILS, 600000, -3756992.0
KnapsackProblem, 5, NR-FS-ILS, 600000, -3697266.0
KnapsackProblem, 5, EPH, 600000, -4283926.0
KnapsackProblem, 5, AA-HH, 600000, -4248962.0
KnapsackProblem, 5, ANW-HH, 600000, -4252143.0
KnapsackProblem, 6, Adap-HH, 600000, -937868.0
KnapsackProblem, 6, FS-ILS, 600000, -906490.0
KnapsackProblem, 6, NR-FS-ILS, 600000, -895516.0
KnapsackProblem, 6, EPH, 600000, -936200.0
KnapsackProblem, 6, AA-HH, 600000, -923973.0
KnapsackProblem, 6, ANW-HH, 600000, -923425.0
KnapsackProblem, 7, Adap-HH, 600000, -1577175.0
KnapsackProblem, 7, FS-ILS, 600000, -1572999.0
KnapsackProblem, 7, NR-FS-ILS, 600000, -1572999.0
KnapsackProblem, 7, EPH, 600000, -1577175.0
KnapsackProblem, 7, AA-HH, 600000, -1577175.0
KnapsackProblem, 7, ANW-HH, 600000, -1572999.0
KnapsackProblem, 8, Adap-HH, 600000, -1530463.0
KnapsackProblem, 8, FS-ILS, 600000, -1347297.0
KnapsackProblem, 8, NR-FS-ILS, 600000, -1346608.0
KnapsackProblem, 8, EPH, 600000, -1530471.0
KnapsackProblem, 8, AA-HH, 600000, -1530453.0
KnapsackProblem, 8, ANW-HH, 600000, -1530453.0
KnapsackProblem, 9, Adap-HH, 600000, -1467353.0
KnapsackProblem, 9, FS-ILS, 600000, -1463681.0
KnapsackProblem, 9, NR-FS-ILS, 600000, -1462759.0
KnapsackProblem, 9, EPH, 600000, -1467357.0
KnapsackProblem, 9, AA-HH, 600000, -1467353.0
KnapsackProblem, 9, ANW-HH, 600000, -1466892.0
QAP, 0, Adap-HH, 600000, 152214.0
QAP, 0, FS-ILS, 600000, 152196.0
QAP, 0, NR-FS-ILS, 600000, 152196.0
QAP, 0, EPH, 600000, 152388.0
QAP, 0, AA-HH, 600000, 152402.0
QAP, 0, ANW-HH, 600000, 154520.0
QAP, 1, Adap-HH, 600000, 154164.0
QAP, 1, FS-ILS, 600000, 154088.0
QAP, 1, NR-FS-ILS, 600000, 154166.0
QAP, 1, EPH, 600000, 154390.0
QAP, 1, AA-HH, 600000, 154290.0
QAP, 1, ANW-HH, 600000, 156642.0
QAP, 2, Adap-HH, 600000, 147970.0
QAP, 2, FS-ILS, 600000, 148002.0
QAP, 2, NR-FS-ILS, 600000, 147978.0
QAP, 2, EPH, 600000, 148122.0
QAP, 2, AA-HH, 600000, 148190.0
QAP, 2, ANW-HH, 600000, 150930.0
QAP, 3, Adap-HH, 600000, 149850.0
QAP, 3, FS-ILS, 600000, 149858.0
QAP, 3, NR-FS-ILS, 600000, 149828.0
QAP, 3, EPH, 600000, 150144.0
QAP, 3, AA-HH, 600000, 149992.0
QAP, 3, ANW-HH, 600000, 152090.0
QAP, 4, Adap-HH, 600000, 2.1366688E7
QAP, 4, FS-ILS, 600000, 2.1309208E7
QAP, 4, NR-FS-ILS, 600000, 2.1321554E7
QAP, 4, EPH, 600000, 2.1401254E7
QAP, 4, AA-HH, 600000, 2.151813E7
QAP, 4, ANW-HH, 600000, 2.1646582E7
QAP, 5, Adap-HH, 600000, 1.187875748E9
QAP, 5, FS-ILS, 600000, 1.187490923E9
QAP, 5, NR-FS-ILS, 600000, 1.187383316E9
QAP, 5, EPH, 600000, 1.189221001E9
QAP, 5, AA-HH, 600000, 1.189321259E9
QAP, 5, ANW-HH, 600000, 1.237911003E9
QAP, 6, Adap-HH, 600000, 5.029377E8
QAP, 6, FS-ILS, 600000, 5.03088738E8
QAP, 6, NR-FS-ILS, 600000, 5.02654006E8
QAP, 6, EPH, 600000, 5.024091E8
QAP, 6, AA-HH, 600000, 5.02293807E8
QAP, 6, ANW-HH, 600000, 5.14793699E8
QAP, 7, Adap-HH, 600000, 4.4858394E7
QAP, 7, FS-ILS, 600000, 4.4874028E7
QAP, 7, NR-FS-ILS, 600000, 4.4873022E7
QAP, 7, EPH, 600000, 4.486094E7
QAP, 7, AA-HH, 600000, 4.4866876E7
